CITY CODE,STATE,METRO/MICRO,URBAN AREA AND STATE,TBONESTEAK,GRNDBEEF,SAUSAGE,FRYCHICK,TUNA,HGALMILK,DOZENEGGS,MARGARINE,PARMESAN,POTATOES,BANANAS,LETTUCE,BREAD,ORANGJUICE,COFFEE,SUGAR,CEREAL,SWEETPEAS,PEACHES,KLNX,CAS-CADE,CANOLAOIL,FROZNMEAL,FROZNCORN,POTATOCHIPS,COKE,APTRENT,HOMEPRICE,MORTRATE (%),HOMEP+I,ALL-ELECT,PARTELECT,OTHERENERGY,TOTALENERGY,PHONE,TIREBAL,GASOLINE,OPTOMETRIST,DOCTOR,DENTIST,IBUPROFEN,LIPITOR,HMBGRSAND,PIZZA,2-PCCHICK,HAIRCUT,BEAUTSALON,TOOTHPASTE,SHAMPOO,DRYCLEAN,MEN'SSHIRT,BOY'SJEANS,WOMEN'SSLACKS,WASHRREPR,NEWSPAPER,MOVIE,BOWLING,TENNSBALLS,VETSERVICES,BEER,WINE
06-23420-250,California,Fresno CA Metro,Fresno CA,$9.55 ,$3.89 ,$4.39 ,$1.64 ,$1.10 ,$2.47 ,$2.20 ,$1.04 ,$4.82 ,$1.83 ,$0.59 ,$1.13 ,$1.75 ,$3.89 ,$4.45 ,$2.16 ,$3.49 ,$1.27 ,$2.75 ,$2.63 ,$5.16 ,$2.78 ,$2.65 ,$1.20 ,$3.40 ,$1.65 ,$979 ,"$307,210 ",4,"$1,100 ",,$174.18 ,$77.72 ,$251.90 ,$31.09 ,$35.49 ,$2.99 ,$116.92 ,$91.51 ,$90.48 ,$11.49 ,$305.27 ,$3.93 ,$10.12 ,$3.60 ,$11.79 ,$42.06 ,$2.64 ,$1.03 ,$12.22 ,$40.56 ,$27.30 ,$35.72 ,$71.04 ,$15.57 ,$11.13 ,$6.93 ,$2.44 ,$44.80 ,$8.17 ,$6.30 
06-31084-500,California,Los Angeles-Long Beach-Glendale CA Metro Div.,Los Angeles-Long Beach CA,$11.03 ,$4.20 ,$4.83 ,$1.54 ,$1.10 ,$2.42 ,$3.16 ,$1.01 ,$4.50 ,$2.95 ,$0.69 ,$1.42 ,$1.47 ,$3.49 ,$5.10 ,$2.56 ,$3.95 ,$1.40 ,$3.22 ,$2.22 ,$5.28 ,$3.62 ,$2.38 ,$1.37 ,$3.05 ,$1.87 ,"$2,391 ","$610,527 ",3.96,"$2,176 ",,$128.27 ,$60.05 ,$188.33 ,$33.50 ,$39.22 ,$3.60 ,$122.74 ,$98.04 ,$106.41 ,$11.91 ,$310.51 ,$4.08 ,$9.00 ,$3.84 ,$18.36 ,$60.93 ,$2.71 ,$1.10 ,$13.02 ,$26.43 ,$24.69 ,$29.33 ,$48.69 ,$22.72 ,$14.29 ,$6.51 ,$2.39 ,$54.74 ,$9.53 ,$5.87 
06-33700-540,California,Modesto CA Metro,Modesto CA,$10.02 ,$4.36 ,$4.41 ,$1.46 ,$0.92 ,$2.52 ,$2.77 ,$1.07 ,$4.39 ,$2.78 ,$0.62 ,$1.54 ,$1.42 ,$3.35 ,$4.95 ,$2.55 ,$3.78 ,$1.29 ,$2.45 ,$1.91 ,$5.53 ,$3.32 ,$2.58 ,$1.63 ,$3.14 ,$1.67 ,"$1,103 ","$368,373 ",3.94,"$1,311 ",,$188.43 ,$40.54 ,$228.97 ,$23.01 ,$43.15 ,$3.12 ,$123.98 ,$97.18 ,$103.68 ,$10.55 ,$302.96 ,$4.02 ,$11.00 ,$3.77 ,$14.12 ,$40.01 ,$2.26 ,$1.06 ,$13.56 ,$25.13 ,$19.61 ,$26.09 ,$76.54 ,$8.50 ,$8.81 ,$5.94 ,$2.10 ,$46.49 ,$8.59 ,$4.77 
06-36084-600,California,Oakland-Hayward-Berkeley CA Metro Div.,Oakland CA,$11.46 ,$3.94 ,$5.97 ,$2.39 ,$1.51 ,$2.76 ,$3.68 ,$1.14 ,$5.99 ,$3.90 ,$0.79 ,$1.99 ,$1.74 ,$4.79 ,$5.98 ,$3.65 ,$4.68 ,$1.76 ,$2.47 ,$2.45 ,$5.80 ,$4.17 ,$2.83 ,$2.42 ,$3.76 ,$1.96 ,"$1,898 ","$733,754 ",3.93,"$2,607 ",,$128.44 ,$73.82 ,$202.26 ,$24.33 ,$39.21 ,$3.27 ,$116.05 ,$123.95 ,$113.39 ,$11.83 ,$263.59 ,$4.17 ,$9.98 ,$4.21 ,$15.95 ,$54.07 ,$3.02 ,$1.09 ,$11.98 ,$34.85 ,$25.66 ,$34.97 ,$60.75 ,$21.59 ,$11.13 ,$5.35 ,$3.12 ,$53.16 ,$9.58 ,$6.93 
06-40900-720,California,Sacramento-Roseville-Arden-Arcade CA Metro,Sacramento CA,$11.23 ,$4.30 ,$4.86 ,$1.95 ,$0.91 ,$2.80 ,$3.22 ,$1.67 ,$6.07 ,$3.50 ,$0.69 ,$1.75 ,$2.08 ,$3.48 ,$6.78 ,$2.70 ,$4.78 ,$1.23 ,$2.65 ,$1.93 ,$6.04 ,$4.12 ,$2.18 ,$1.73 ,$4.04 ,$1.25 ,"$1,566 ","$396,387 ",3.97,"$1,414 ",,$98.94 ,$38.05 ,$136.99 ,$20.40 ,$37.31 ,$3.32 ,$108.18 ,$91.95 ,$86.84 ,$10.79 ,$313.44 ,$4.18 ,$12.57 ,$3.54 ,$17.06 ,$42.06 ,$2.98 ,$1.41 ,$13.73 ,$30.99 ,$24.14 ,$30.79 ,$63.29 ,$25.62 ,$10.04 ,$5.14 ,$2.97 ,$45.71 ,$8.67 ,$5.28 
06-41740-760,California,San Diego-Carlsbad CA Metro,San Diego CA,$11.20 ,$4.41 ,$4.83 ,$1.46 ,$1.10 ,$2.45 ,$3.31 ,$1.03 ,$4.48 ,$3.12 ,$0.69 ,$1.42 ,$1.58 ,$3.54 ,$5.18 ,$2.46 ,$4.22 ,$1.38 ,$3.35 ,$2.32 ,$5.27 ,$3.48 ,$2.40 ,$1.35 ,$3.23 ,$1.86 ,"$1,906 ","$731,465 ",3.96,"$2,607 ",,$158.08 ,$53.80 ,$211.89 ,$33.50 ,$38.25 ,$3.56 ,$103.63 ,$107.44 ,$105.44 ,$12.63 ,$308.58 ,$4.37 ,$8.25 ,$4.04 ,$18.81 ,$55.74 ,$2.59 ,$1.12 ,$12.85 ,$26.39 ,$23.76 ,$30.97 ,$46.05 ,$25.97 ,$12.44 ,$5.29 ,$2.48 ,$51.27 ,$9.65 ,$5.91 
06-41884-800,California,San Francisco-Redwood City-South San Francisco CA Metro Div.,San Francisco CA,$11.20 ,$4.01 ,$5.93 ,$1.97 ,$1.43 ,$2.77 ,$3.46 ,$1.12 ,$6.00 ,$3.80 ,$0.79 ,$1.69 ,$1.82 ,$4.54 ,$5.98 ,$3.51 ,$4.68 ,$1.63 ,$2.55 ,$2.69 ,$5.73 ,$3.80 ,$2.95 ,$2.47 ,$3.53 ,$1.97 ,"$3,194 ","$968,148 ",3.97,"$3,455 ",,$132.55 ,$73.80 ,$206.36 ,$24.12 ,$44.59 ,$3.35 ,$120.61 ,$125.42 ,$119.55 ,$11.94 ,$266.06 ,$4.46 ,$9.75 ,$4.21 ,$18.41 ,$61.30 ,$3.08 ,$1.11 ,$13.39 ,$36.63 ,$27.21 ,$40.69 ,$64.29 ,$25.35 ,$11.43 ,$6.47 ,$3.15 ,$57.40 ,$9.81 ,$7.41 
06-44700-900,California,Stockton-Lodi CA Metro,Stockton CA,$11.12 ,$4.70 ,$5.22 ,$1.62 ,$1.26 ,$2.77 ,$3.31 ,$1.05 ,$5.83 ,$3.32 ,$0.68 ,$1.89 ,$1.93 ,$3.49 ,$5.54 ,$2.79 ,$4.71 ,$1.53 ,$2.67 ,$2.10 ,$5.82 ,$3.62 ,$3.15 ,$1.87 ,$3.31 ,$1.73 ,"$1,089 ","$361,727 ",3.91,"$1,281 ",,$187.58 ,$40.69 ,$228.27 ,$24.15 ,$42.06 ,$3.25 ,$125.12 ,$96.16 ,$84.88 ,$11.39 ,$311.40 ,$3.89 ,$12.53 ,$3.73 ,$14.94 ,$36.40 ,$2.86 ,$1.20 ,$13.69 ,$27.64 ,$22.68 ,$30.23 ,$65.70 ,$20.73 ,$10.37 ,$4.11 ,$2.67 ,$32.40 ,$8.70 ,$6.46 
06-44700-930,California,Stockton-Lodi CA Metro,Tracy CA,$10.38 ,$4.38 ,$5.45 ,$1.72 ,$1.19 ,$2.78 ,$3.36 ,$1.08 ,$5.61 ,$3.40 ,$0.67 ,$1.90 ,$1.98 ,$3.71 ,$5.82 ,$2.64 ,$4.81 ,$1.69 ,$2.68 ,$2.07 ,$5.90 ,$3.45 ,$2.44 ,$1.47 ,$3.45 ,$1.70 ,"$1,321 ","$547,274 ",3.85,"$1,925 ",,$187.19 ,$40.56 ,$227.75 ,$23.22 ,$35.90 ,$3.20 ,$126.85 ,$90.73 ,$92.36 ,$11.25 ,$320.35 ,$3.95 ,$13.45 ,$3.76 ,$17.04 ,$43.46 ,$2.63 ,$1.93 ,$9.01 ,$24.64 ,$22.51 ,$26.78 ,$59.40 ,$23.76 ,$10.28 ,$4.02 ,$2.71 ,$50.14 ,$8.84 ,$6.34 
06-46020-940,California,Truckee-Grass Valley CA Micro,Truckee-Nevada County CA,$11.03 ,$4.92 ,$4.99 ,$1.75 ,$1.24 ,$2.70 ,$4.34 ,$1.11 ,$6.08 ,$3.62 ,$0.66 ,$1.95 ,$2.66 ,$4.79 ,$6.01 ,$2.97 ,$4.37 ,$1.84 ,$2.76 ,$2.72 ,$6.36 ,$3.41 ,$3.72 ,$1.88 ,$4.24 ,$1.93 ,"$1,295 ","$843,087 ",3.92,"$2,988 ",,$114.42 ,$133.69 ,$248.11 ,$33.35 ,$38.54 ,$4.16 ,$120.19 ,$112.09 ,$121.58 ,$11.97 ,$325.07 ,$4.23 ,$16.10 ,$3.02 ,$16.19 ,$50.59 ,$3.88 ,$1.31 ,$15.15 ,$22.62 ,$19.43 ,$26.67 ,$90.11 ,$18.91 ,$11.05 ,$3.29 ,$2.82 ,$55.55 ,$9.14 ,$12.72 
08-17820-200,Colorado,Colorado Springs CO Metro,Colorado Springs CO,$11.00 ,$5.08 ,$4.41 ,$1.13 ,$1.06 ,$1.87 ,$2.21 ,$0.99 ,$4.12 ,$2.41 ,$0.56 ,$1.17 ,$1.48 ,$3.22 ,$4.68 ,$2.32 ,$3.46 ,$1.10 ,$2.01 ,$1.67 ,$4.89 ,$3.08 ,$2.19 ,$1.19 ,$3.05 ,$1.50 ,"$1,023 ","$294,226 ",4.15,"$1,072 ",,$76.80 ,$56.55 ,$133.35 ,$27.64 ,$40.02 ,$2.44 ,$103.72 ,$114.35 ,$90.35 ,$9.06 ,$288.95 ,$4.09 ,$8.10 ,$3.83 ,$13.35 ,$36.05 ,$2.75 ,$0.90 ,$9.59 ,$27.64 ,$21.73 ,$25.96 ,$60.53 ,$15.45 ,$9.74 ,$3.35 ,$3.22 ,$49.60 ,$8.08 ,$6.91 
08-19740-300,Colorado,Denver-Aurora-Lakewood CO Metro,Denver CO,$10.87 ,$5.07 ,$4.39 ,$1.45 ,$1.25 ,$2.02 ,$2.38 ,$0.99 ,$4.04 ,$2.41 ,$0.58 ,$1.21 ,$1.51 ,$3.97 ,$5.44 ,$2.72 ,$3.45 ,$1.01 ,$1.49 ,$1.80 ,$5.26 ,$3.24 ,$2.33 ,$1.50 ,$3.09 ,$1.58 ,"$1,286 ","$392,918 ",4,"$1,407 ",,$93.41 ,$62.24 ,$155.65 ,$28.34 ,$38.58 ,$2.63 ,$101.32 ,$124.39 ,$95.44 ,$9.19 ,$293.23 ,$4.26 ,$8.50 ,$3.78 ,$16.76 ,$35.63 ,$3.02 ,$1.09 ,$14.47 ,$29.82 ,$19.78 ,$31.17 ,$68.47 ,$23.83 ,$11.16 ,$6.04 ,$2.28 ,$54.16 ,$8.45 ,$6.71 
08-24300-500,Colorado,Grand Junction CO Metro,Grand Junction CO,$11.46 ,$4.58 ,$4.56 ,$1.22 ,$0.96 ,$1.97 ,$2.32 ,$1.23 ,$3.98 ,$2.25 ,$0.57 ,$1.24 ,$1.23 ,$3.71 ,$4.78 ,$2.30 ,$3.77 ,$1.05 ,$2.57 ,$1.84 ,$4.80 ,$3.15 ,$2.33 ,$1.26 ,$3.11 ,$1.47 ,$925 ,"$312,379 ",4.08,"$1,130 ",,$84.23 ,$56.20 ,$140.43 ,$25.92 ,$33.12 ,$2.63 ,$106.50 ,$136.59 ,$83.51 ,$9.49 ,$283.74 ,$4.26 ,$9.38 ,$4.23 ,$16.95 ,$26.30 ,$2.16 ,$0.98 ,$11.94 ,$24.23 ,$19.67 ,$23.87 ,$55.89 ,$16.62 ,$11.26 ,$4.52 ,$2.63 ,$40.95 ,$8.17 ,$8.35 
08-39380-800,Colorado,Pueblo CO Metro,Pueblo CO,$10.90 ,$4.20 ,$4.29 ,$1.20 ,$1.09 ,$2.14 ,$2.16 ,$1.06 ,$4.33 ,$2.26 ,$0.56 ,$1.12 ,$1.65 ,$3.47 ,$4.59 ,$2.40 ,$3.55 ,$1.04 ,$2.12 ,$1.90 ,$4.81 ,$2.85 ,$2.48 ,$1.19 ,$2.81 ,$1.47 ,$802 ,"$203,273 ",3.98,$727 ,,$77.54 ,$57.74 ,$135.28 ,$25.49 ,$32.02 ,$2.55 ,$85.98 ,$107.35 ,$83.21 ,$8.84 ,$274.34 ,$3.57 ,$8.14 ,$3.89 ,$13.33 ,$26.86 ,$2.31 ,$0.89 ,$10.43 ,$23.34 ,$16.40 ,$26.37 ,$63.25 ,$13.97 ,$9.51 ,$3.10 ,$2.30 ,$41.38 ,$8.28 ,$10.01 
08-88888-470,Colorado,NonMetro US,Glenwood Springs CO,$12.68 ,$4.14 ,$4.41 ,$1.54 ,$1.07 ,$2.03 ,$2.32 ,$0.99 ,$4.58 ,$2.70 ,$0.59 ,$1.18 ,$1.48 ,$3.65 ,$4.83 ,$2.90 ,$3.44 ,$1.11 ,$2.65 ,$2.04 ,$5.53 ,$3.04 ,$2.44 ,$1.25 ,$3.01 ,$1.66 ,"$1,302 ","$473,945 ",4.13,"$1,723 ",,$63.81 ,$90.37 ,$154.18 ,$21.67 ,$30.53 ,$3.10 ,$158.63 ,$120.00 ,$104.13 ,$10.04 ,$312.34 ,$4.32 ,$10.00 ,$4.30 ,$17.75 ,$43.75 ,$2.89 ,$1.14 ,$15.50 ,$31.00 ,$22.16 ,$29.99 ,$85.00 ,$15.83 ,$10.13 ,$4.75 ,$2.62 ,$58.35 ,$9.14 ,$8.12 
08-88888-700,Colorado,NonMetro US,Gunnison CO,$12.87 ,$3.93 ,$4.49 ,$1.14 ,$1.03 ,$2.12 ,$2.40 ,$0.99 ,$4.24 ,$2.59 ,$0.59 ,$1.37 ,$1.59 ,$3.63 ,$4.53 ,$2.43 ,$3.47 ,$1.17 ,$2.48 ,$1.83 ,$5.60 ,$2.95 ,$2.46 ,$1.37 ,$3.34 ,$1.53 ,$731 ,"$425,083 ",4.06,"$1,534 ",,$85.78 ,$72.77 ,$158.54 ,$23.97 ,$34.25 ,$2.74 ,$85.63 ,$125.38 ,$80.13 ,$9.24 ,$275.53 ,$4.14 ,$10.43 ,$2.86 ,$16.90 ,$28.50 ,$2.68 ,$0.91 ,$15.75 ,$34.62 ,$24.94 ,$38.37 ,$71.88 ,$11.83 ,$9.50 ,$3.73 ,$2.24 ,$48.46 ,$8.81 ,$10.07 
09-14860-800,Connecticut,Bridgeport-Stamford-Norwalk CT Metro,Stamford CT,$12.48 ,$5.12 ,$4.58 ,$1.26 ,$1.72 ,$2.73 ,$2.93 ,$2.30 ,$4.47 ,$4.30 ,$0.80 ,$1.88 ,$2.11 ,$4.30 ,$5.57 ,$3.19 ,$4.17 ,$1.65 ,$3.14 ,$2.28 ,$6.38 ,$4.35 ,$3.85 ,$1.93 ,$3.95 ,$2.00 ,"$2,189 ","$620,858 ",4.08,"$2,245 ",,$140.56 ,$115.55 ,$256.11 ,$29.01 ,$43.13 ,$2.81 ,$110.94 ,$123.75 ,$109.17 ,$10.53 ,$299.00 ,$3.94 ,$9.66 ,$3.83 ,$19.21 ,$64.38 ,$3.84 ,$0.90 ,$10.21 ,$26.57 ,$25.26 ,$34.20 ,$89.38 ,$27.50 ,$14.00 ,$7.46 ,$3.62 ,$83.63 ,$9.82 ,$9.66 
09-25540-400,Connecticut,Hartford-West Hartford-East Hartford CT Metro,Hartford CT,$11.55 ,$6.04 ,$4.95 ,$1.68 ,$1.76 ,$2.90 ,$2.34 ,$1.95 ,$4.40 ,$4.42 ,$0.84 ,$1.99 ,$2.55 ,$3.91 ,$4.00 ,$2.71 ,$4.05 ,$1.69 ,$2.62 ,$2.41 ,$6.60 ,$4.46 ,$3.48 ,$1.82 ,$4.18 ,$2.05 ,"$1,120 ","$426,954 ",4.1,"$1,547 ",,$148.10 ,$120.15 ,$268.24 ,$24.87 ,$42.63 ,$2.95 ,$115.76 ,$123.19 ,$122.55 ,$11.36 ,$265.89 ,$4.29 ,$10.09 ,$5.04 ,$17.42 ,$46.96 ,$3.22 ,$1.17 ,$13.14 ,$26.72 ,$21.07 ,$26.62 ,$89.25 ,$25.96 ,$10.05 ,$7.15 ,$3.26 ,$69.65 ,$10.01 ,$7.74 
09-35300-620,Connecticut,New Haven-Milford CT Metro,New Haven CT,$11.76 ,$5.52 ,$5.31 ,$1.52 ,$2.22 ,$3.47 ,$3.07 ,$2.08 ,$4.47 ,$4.26 ,$0.88 ,$2.05 ,$2.53 ,$3.50 ,$3.73 ,$2.82 ,$3.54 ,$1.68 ,$2.63 ,$2.53 ,$6.66 ,$4.16 ,$3.51 ,$1.93 ,$3.76 ,$2.21 ,"$1,348 ","$438,883 ",4.16,"$1,602 ",,$109.53 ,$81.58 ,$191.11 ,$23.95 ,$41.09 ,$2.81 ,$116.07 ,$126.06 ,$111.11 ,$10.72 ,$266.95 ,$4.02 ,$9.96 ,$4.47 ,$18.58 ,$52.64 ,$4.24 ,$1.16 ,$11.62 ,$29.83 ,$22.33 ,$29.46 ,$83.77 ,$25.49 ,$11.17 ,$7.13 ,$3.75 ,$74.35 ,$9.92 ,$8.30 
10-20100-500,Delaware,Dover DE Metro,Dover DE,$10.89 ,$4.42 ,$5.28 ,$1.80 ,$1.11 ,$2.13 ,$2.40 ,$1.16 ,$4.26 ,$3.99 ,$0.63 ,$2.23 ,$1.38 ,$3.61 ,$4.65 ,$2.65 ,$3.41 ,$0.97 ,$2.60 ,$2.16 ,$6.28 ,$3.99 ,$2.85 ,$1.44 ,$3.60 ,$1.39 ,$871 ,"$245,936 ",4.12,$894 ,,$94.97 ,$109.37 ,$204.34 ,$29.95 ,$39.81 ,$2.63 ,$135.00 ,$87.50 ,$91.38 ,$10.41 ,$320.88 ,$3.59 ,$7.62 ,$3.99 ,$12.88 ,$36.25 ,$2.98 ,$1.03 ,$12.07 ,$36.25 ,$32.50 ,$38.37 ,$59.17 ,$25.50 ,$10.50 ,$3.99 ,$3.70 ,$53.75 ,$9.05 ,$10.74 
10-48864-800,Delaware,Wilmington DE-MD-NJ Metro Div.,Wilmington DE,$11.50 ,$3.97 ,$4.72 ,$1.62 ,$1.02 ,$2.39 ,$2.29 ,$1.12 ,$4.37 ,$3.74 ,$0.59 ,$1.83 ,$1.36 ,$3.48 ,$4.59 ,$2.31 ,$3.66 ,$1.07 ,$2.78 ,$2.08 ,$5.55 ,$3.52 ,$2.71 ,$1.40 ,$3.97 ,$1.48 ,"$1,017 ","$331,626 ",4.15,"$1,209 ",,$112.94 ,$96.48 ,$209.41 ,$25.95 ,$39.68 ,$2.57 ,$121.75 ,$86.25 ,$95.00 ,$9.96 ,$325.02 ,$3.59 ,$7.62 ,$3.99 ,$13.25 ,$41.00 ,$2.62 ,$1.00 ,$13.00 ,$37.23 ,$32.88 ,$37.25 ,$65.00 ,$25.50 ,$11.50 ,$4.50 ,$3.73 ,$47.25 ,$8.74 ,$10.87 
11-47894-750,District of Columbia,Washington-Arlington-Alexandria DC-VA-MD-WV Metro Div.,Washington-Arlington-Alexandria DC-VA,$12.14 ,$4.34 ,$4.95 ,$1.62 ,$1.27 ,$2.52 ,$2.30 ,$1.14 ,$4.51 ,$3.95 ,$0.62 ,$1.82 ,$1.62 ,$3.48 ,$4.79 ,$2.54 ,$4.22 ,$1.27 ,$2.49 ,$1.91 ,$5.74 ,$3.80 ,$2.75 ,$1.58 ,$3.85 ,$1.82 ,"$2,069 ","$797,020 ",4.03,"$2,864 ",,$81.52 ,$82.36 ,$163.88 ,$27.32 ,$42.25 ,$2.95 ,$72.17 ,$87.94 ,$87.70 ,$10.64 ,$293.64 ,$3.60 ,$8.70 ,$3.41 ,$16.98 ,$56.43 ,$2.73 ,$1.06 ,$10.51 ,$31.02 ,$19.33 ,$35.94 ,$61.92 ,$31.55 ,$12.80 ,$5.42 ,$2.63 ,$64.13 ,$9.03 ,$9.77 
12-15980-190,Florida,Cape Coral-Fort Myers FL Metro,Cape Coral-Fort Myers FL,$11.92 ,$4.90 ,$4.43 ,$1.89 ,$0.98 ,$2.66 ,$2.81 ,$0.98 ,$4.26 ,$4.06 ,$0.65 ,$1.70 ,$1.94 ,$3.64 ,$4.73 ,$2.36 ,$3.35 ,$1.28 ,$2.30 ,$1.76 ,$5.01 ,$3.11 ,$2.71 ,$1.30 ,$4.31 ,$1.96 ,$607 ,"$292,674 ",4,"$1,048 ",$164.80 ,,,$164.80 ,$24.99 ,$38.85 ,$2.97 ,$88.12 ,$97.85 ,$82.00 ,$12.59 ,$335.41 ,$3.76 ,$9.16 ,$4.12 ,$14.81 ,$41.07 ,$3.24 ,$0.89 ,$11.56 ,$23.07 ,$20.76 ,$24.06 ,$76.02 ,$17.00 ,$9.96 ,$11.93 ,$2.57 ,$43.58 ,$8.84 ,$9.78 
12-19660-210,Florida,Deltona-Daytona Beach-Ormond Beach FL Metro,Daytona Beach FL,$11.17 ,$4.83 ,$3.97 ,$1.38 ,$0.95 ,$2.63 ,$2.40 ,$1.15 ,$3.77 ,$3.53 ,$0.62 ,$1.64 ,$1.62 ,$3.64 ,$4.20 ,$2.36 ,$3.32 ,$1.15 ,$2.60 ,$1.72 ,$5.22 ,$3.11 ,$2.89 ,$1.14 ,$3.49 ,$1.78 ,$848 ,"$245,515 ",3.99,$878 ,$151.76 ,,,$151.76 ,$32.74 ,$33.47 ,$2.62 ,$68.83 ,$106.40 ,$81.37 ,$9.24 ,$305.90 ,$3.53 ,$9.51 ,$4.49 ,$11.00 ,$32.50 ,$2.74 ,$0.98 ,$10.72 ,$31.95 ,$25.65 ,$32.64 ,$72.52 ,$22.83 ,$9.99 ,$3.99 ,$2.13 ,$43.23 ,$8.67 ,$8.56 
12-19660-625,Florida,Deltona-Daytona Beach-Ormond Beach FL Metro,Palm Coast-Flagler County FL,$11.55 ,$4.53 ,$4.36 ,$1.46 ,$1.05 ,$2.74 ,$2.28 ,$1.07 ,$3.91 ,$3.73 ,$0.63 ,$1.52 ,$1.87 ,$3.92 ,$4.06 ,$2.45 ,$3.53 ,$1.28 ,$2.66 ,$1.75 ,$5.53 ,$2.89 ,$2.84 ,$1.65 ,$3.42 ,$1.76 ,$880 ,"$228,563 ",4,$819 ,,$97.47 ,$70.83 ,$168.30 ,$25.00 ,$30.60 ,$2.77 ,$93.69 ,$95.88 ,$84.92 ,$9.88 ,$295.45 ,$3.73 ,$9.86 ,$3.55 ,$15.02 ,$30.45 ,$3.05 ,$1.07 ,$14.50 ,$22.73 ,$23.04 ,$36.07 ,$60.21 ,$22.02 ,$10.00 ,$3.00 ,$3.23 ,$57.68 ,$8.96 ,$6.79 
12-22744-240,Florida,Fort Lauderdale-Pompano Beach-Deerfield Beach FL Metro Div.,Fort Lauderdale FL,$11.98 ,$4.82 ,$4.69 ,$1.50 ,$1.02 ,$2.78 ,$2.33 ,$1.21 ,$3.89 ,$3.50 ,$0.69 ,$1.84 ,$2.16 ,$3.52 ,$3.36 ,$2.07 ,$3.97 ,$1.13 ,$2.66 ,$1.98 ,$5.13 ,$3.31 ,$2.61 ,$1.42 ,$2.63 ,$1.64 ,"$1,478 ","$437,545 ",3.98,"$1,563 ",$162.99 ,,,$162.99 ,$27.41 ,$47.58 ,$2.80 ,$93.08 ,$85.50 ,$88.96 ,$11.57 ,$323.73 ,$3.93 ,$8.74 ,$4.35 ,$13.50 ,$50.19 ,$2.57 ,$1.08 ,$13.39 ,$24.98 ,$19.98 ,$27.01 ,$55.04 ,$14.84 ,$11.98 ,$5.16 ,$2.72 ,$48.55 ,$8.51 ,$7.42 
12-23540-300,Florida,Gainesville FL Metro,Gainesville FL,$10.91 ,$4.55 ,$4.42 ,$1.37 ,$0.95 ,$2.67 ,$2.64 ,$1.02 ,$3.78 ,$3.31 ,$0.66 ,$1.66 ,$1.72 ,$3.59 ,$3.89 ,$2.17 ,$3.64 ,$1.17 ,$2.52 ,$1.71 ,$5.51 ,$2.91 ,$2.74 ,$1.34 ,$3.28 ,$1.43 ,$880 ,"$281,743 ",4.03,"$1,012 ",,$129.56 ,$45.82 ,$175.38 ,$26.23 ,$39.74 ,$2.68 ,$80.21 ,$88.75 ,$95.53 ,$10.32 ,$322.77 ,$3.55 ,$7.74 ,$4.01 ,$11.94 ,$33.52 ,$2.35 ,$0.91 ,$11.42 ,$19.55 ,$19.75 ,$21.75 ,$70.00 ,$18.10 ,$11.26 ,$5.12 ,$2.29 ,$52.63 ,$8.91 ,$7.48 
12-27260-440,Florida,Jacksonville FL Metro,Jacksonville FL,$10.88 ,$4.45 ,$4.38 ,$1.50 ,$0.96 ,$2.61 ,$2.22 ,$1.01 ,$3.75 ,$3.59 ,$0.63 ,$1.54 ,$1.84 ,$3.55 ,$4.10 ,$2.47 ,$3.41 ,$1.11 ,$2.39 ,$1.70 ,$5.38 ,$2.94 ,$2.39 ,$1.47 ,$3.57 ,$1.75 ,"$1,116 ","$245,842 ",4.01,$882 ,$169.75 ,,,$169.75 ,$34.72 ,$39.69 ,$2.63 ,$78.78 ,$67.35 ,$88.24 ,$9.19 ,$267.98 ,$3.56 ,$9.32 ,$3.95 ,$12.54 ,$56.93 ,$2.78 ,$1.05 ,$12.75 ,$24.51 ,$21.82 ,$32.83 ,$68.20 ,$28.22 ,$10.82 ,$4.44 ,$2.28 ,$49.18 ,$8.81 ,$8.25 
12-33124-500,Florida,Miami-Miami Beach-Kendall FL Metro Div.,Miami-Dade County FL,$11.37 ,$4.90 ,$4.87 ,$1.55 ,$1.03 ,$2.74 ,$2.43 ,$1.08 ,$3.98 ,$3.44 ,$0.69 ,$1.90 ,$1.95 ,$3.47 ,$3.72 ,$2.23 ,$3.99 ,$1.29 ,$2.71 ,$1.89 ,$4.97 ,$3.19 ,$3.17 ,$1.59 ,$3.28 ,$1.61 ,"$1,382 ","$373,271 ",4.09,"$1,350 ",$164.67 ,,,$164.67 ,$27.41 ,$48.74 ,$2.81 ,$88.45 ,$97.38 ,$99.50 ,$10.54 ,$317.99 ,$3.91 ,$8.74 ,$4.30 ,$15.70 ,$49.95 ,$2.77 ,$1.05 ,$15.88 ,$23.99 ,$20.97 ,$23.07 ,$59.89 ,$16.01 ,$11.63 ,$7.55 ,$2.72 ,$49.15 ,$8.71 ,$7.38 
